DOEID,time,HDD65,CDD65
104197,Aug,135,209
100707,Nov,489,81
1072826,Oct,513,83
101139,Feb,135,197
112122,Nov,476,80
100345,Jun,189,21
1197453,Jul,869,2
1156332,Oct,293,155
112423,Jan,545,49
118304,Mar,345,91
117196,Jan,660,58
102593,Feb,335,106
1158202,Dec,704,39
115355,May,7,394
1125012,Dec,668,7
101820,Jul,160,204
104245,Nov,691,9
111701,Sep,508,83
110576,Dec,410,132
104914,Apr,384,23
1087987,Dec,114,206
102851,Mar,328,37
100669,Oct,502,63
112293,Oct,254,140
115617,Apr,105,363
109522,Sep,701,18
105704,Nov,423,92
1179367,Sep,240,160
107442,Feb,439,82
1104891,Jun,593,68
108230,Jan,262,99
1195079,Oct,203,114
100201,Jul,560,54
111916,Apr,89,84
100685,Dec,200,167
100430,Apr,604,53
106879,May,124,415
1068128,Aug,386,88
103807,Jul,554,68
102646,Sep,561,48
111270,Apr,566,86
111777,Aug,344,97
106485,Aug,629,37
109423,Jan,72,453
105498,Mar,412,96
106283,Jan,182,220
102005,Aug,440,84
1196162,Mar,177,245
1051468,Aug,853,0
105458,Jul,532,72
107874,Nov,31,347
107895,Sep,596,47
107503,Feb,201,148
111401,Jan,513,78
1050747,Apr,165,338
104483,Nov,457,65
1097560,Nov,220,141
1150768,Dec,226,130
103335,Feb,259,160
111829,Nov,211,136
1057961,May,320,116
114670,Jun,451,61
100135,Jan,435,120
105969,Feb,614,59
103728,May,354,108
114571,Jun,445,106
114932,Oct,428,16
112587,Apr,527,59
103334,Feb,609,77
111506,May,122,274
108995,Aug,543,93
1057046,Sep,629,66
103300,Jan,99,243
109708,Aug,215,152
101944,Dec,90,304
112040,Nov,667,38
117994,Jul,5,442
1000494,May,181,283
105486,May,208,13
102222,Apr,451,47
118080,Mar,336,107
107684,Nov,343,122
111944,May,359,107
103626,Mar,318,158
103185,Nov,313,26
106213,Jun,461,85
116202,Mar,464,59
115566,Mar,900,0
100952,Nov,325,123
113950,Jan,453,76
113208,Apr,327,115
103536,Aug,416,71
1157937,Mar,517,66
1113021,Sep,88,383
1036674,Jul,99,248
1083899,Nov,709,24
105450,Jun,496,77
106839,Aug,772,32
101656,Jun,67,100
118114,Feb,436,78
107316,Sep,646,37
108992,Jan,255,142
102938,Jul,82,307
114087,Dec,357,97
104333,Jun,263,135
101079,Jul,437,68
1067788,Apr,122,197
111794,Jun,395,104
103622,Apr,439,88
110305,Jun,166,181
111485,May,629,59
104837,Jan,687,41
105677,Oct,290,122
103010,Dec,523,39
115186,Dec,562,57
113440,May,530,87
111502,Aug,441,70
114347,Dec,407,100
1110466,Jul,187,38
100933,Jun,478,71
106227,May,502,81
115303,Oct,480,88
104951,Nov,425,53
118442,Mar,106,356
102511,Feb,343,108
1067628,Sep,390,17
1057752,Aug,233,132
100934,Feb,156,207
102226,Nov,544,101
113627,Jan,591,43
101799,Oct,713,28
108014,Jun,940,1
103377,Jun,432,96
113788,Jun,190,127
117095,Aug,582,68
100110,Mar,156,35
108537,Apr,399,129
1057718,Nov,247,195
110483,Dec,226,158
116126,Sep,389,100
1086548,Apr,492,73
108118,Jan,463,66
1048084,Sep,771,51
101915,Jan,407,0
114262,Feb,491,89
106101,Sep,549,50
110600,Sep,401,17
106672,Nov,509,65
115152,Jun,638,70
114417,Mar,348,106
1034762,Feb,0,394
104829,Sep,136,352
102089,Jul,552,68
1094041,May,755,52
115473,Sep,522,53
102228,Sep,544,65
106133,Jun,484,70
108808,Oct,233,149
117376,May,622,49
101590,Apr,540,60
116184,Jan,617,38
102809,Jun,85,259
111911,Apr,90,442
101380,Nov,32,386
117655,Sep,533,69
107853,Aug,627,61
108994,Nov,405,82
112344,Mar,0,428
118431,Oct,66,164
114415,May,601,55
1163291,Aug,273,142
105113,Jun,356,94
103896,Oct,87,131
117835,Mar,270,122
110923,Mar,445,109
100423,Mar,0,440
115456,Dec,251,157
117400,Mar,0,241
117714,Apr,454,113
107765,Nov,86,233
108236,Oct,494,52
1080730,Mar,338,107
100318,Nov,48,316
100376,Oct,101,369
101674,Mar,546,66
109349,Jun,287,106
117299,Mar,106,75
107851,Feb,600,65
116673,Jul,93,268
103004,Oct,739,37
116312,Oct,334,128
100592,Nov,102,280
104013,Jun,328,128
114810,Nov,464,75
109057,Dec,48,415
115150,Oct,546,80
114405,Mar,360,94
110677,Feb,321,76
116225,Mar,438,62
105319,Aug,224,114
109282,Feb,21,355
116058,Oct,494,86
116165,Oct,91,108
115884,Feb,438,9
118269,Mar,467,62
112742,Oct,240,127
1044395,Sep,284,146
106651,May,134,201
106604,Apr,556,49
116926,May,119,239
108530,Mar,592,37
105372,Sep,258,195
117427,Nov,252,134
108833,Feb,27,329
114317,Mar,254,177
111474,Jul,91,282
106259,Nov,103,250
115644,Aug,246,153
114989,Nov,481,102
107290,Sep,157,200
113182,Aug,439,84
1042186,Apr,1210,2
1053085,Apr,230,154
109310,Nov,168,247
115285,Mar,698,59
104102,May,99,291
105104,Jun,340,43
106352,Jul,419,98
113356,Sep,398,80
115651,Jul,449,64
118287,Dec,238,156
115443,Apr,95,233
1090354,Jan,346,110
116743,Oct,505,52
115929,Jun,383,93
104763,Sep,504,66
101797,May,185,213
117468,Jun,415,80
1056283,Nov,356,146
113076,Jun,329,110
107165,Aug,282,123
117672,Jul,254,161
111597,Jun,144,271
114709,Jul,351,95
111366,Jul,400,107
1119176,Aug,492,66
107879,Dec,493,60
105771,Jan,347,14
112718,Dec,426,44
118093,Feb,411,105
113047,Jun,366,107
112128,Feb,303,113
107616,Jun,450,67
115735,May,546,34
113093,Jun,17,367
112188,Oct,356,102
102055,Oct,468,72
108130,Feb,408,70
107342,Feb,513,91
111088,Jul,257,160
1168798,Nov,334,105
100623,Jul,569,51
104188,Jun,445,121
114677,May,232,151
109971,Nov,473,65
1112003,Mar,320,116
108254,Sep,362,117
111019,Aug,403,86
101767,Mar,0,413
105928,Oct,210,43
109714,Dec,187,233
102915,May,293,112
109145,Jan,402,24
104638,Nov,184,153
115332,Feb,270,168
103548,Jul,498,59
104062,Apr,0,256
114678,Dec,356,89
117781,Aug,170,213
1060233,Nov,331,115
107300,Aug,487,103
106889,Mar,594,68
1144974,Nov,350,112
115705,May,319,127
106778,Jan,788,0
118047,Apr,23,353
105278,Feb,412,107
101617,May,451,80
112287,Mar,191,141
107225,Mar,56,303
100622,Sep,49,324
115348,Nov,561,34
1195519,Nov,351,89
1071623,Jun,415,92
111040,Dec,548,65
1164392,Dec,868,0
107056,Jun,84,290
1034762,Dec,0,394
101470,Dec,374,122
111970,Sep,421,71
114695,Dec,114,192
107148,Oct,927,0
114996,Oct,90,244
1030120,May,75,308
109310,Jul,149,250
107733,May,521,103
110512,Nov,3,426
115793,Feb,89,233
105069,Dec,104,271
101483,Mar,403,100
1110466,Mar,154,31
100296,Jul,351,91
106551,May,335,87
115191,Feb,551,47
109165,Mar,246,196
113589,Nov,10,407
114567,Jul,553,62
101043,Aug,297,119
101086,May,519,66
100442,May,354,108
105398,Jul,460,116
102557,Dec,403,76
104878,Aug,645,59
1114174,Dec,420,92
115727,Sep,608,45
111869,Feb,438,86
105415,Apr,422,74
106073,Dec,149,208
107999,Sep,266,128
109243,Jul,425,94
115843,Jul,542,48
114982,Oct,482,66
100654,Nov,199,202
105644,May,409,99
100161,Aug,640,64
112160,Sep,484,74
102427,Apr,2,284
113542,Sep,363,81
117260,Nov,146,353
113754,Dec,360,22
116915,Dec,690,52
1126235,Jul,357,88
104074,Jun,230,150
112286,Sep,549,59
117774,Feb,384,13
107370,Jan,75,266
100403,Aug,658,28
114246,May,154,167
110844,Feb,451,32
109158,Dec,92,319
1027713,Jul,73,94
104253,Mar,602,33
109393,Jul,531,55
100566,Jan,358,31
116670,Jan,304,138
105445,Apr,452,85
117928,Jan,374,30
101866,May,104,303
102959,Jul,366,19
107579,Dec,701,30
105419,Jun,371,23
1150939,Jun,438,81
117174,Jul,380,94
111908,Apr,7,423
110288,Mar,413,74
115326,Aug,174,54
112051,Oct,179,178
109162,Sep,460,58
1166041,May,130,217
112492,Feb,95,92
100308,Apr,532,46
115758,Jul,432,71
111089,May,463,67
105225,Jan,259,151
116266,Sep,701,0
114915,Apr,382,87
100528,Jan,87,229
106524,Apr,508,68
107074,Nov,449,79
101377,Jan,197,261
110524,Dec,372,80
100430,Nov,652,69
105062,Jun,481,78
114529,Sep,460,63
104371,Dec,474,95
115218,Mar,674,61
103644,Jul,187,189
117113,Jul,355,127
1098816,May,608,22
105038,Jun,435,83
1067788,Sep,123,206
101582,Jun,654,37
1191173,Jun,444,77
103648,Sep,272,159
113780,Sep,232,176
116619,Mar,317,107
114039,Feb,392,115
110239,Jul,465,65
108828,Aug,640,24
106826,Jul,428,95
113137,May,430,60
1145918,Sep,223,147
104782,Jul,1206,0
112802,Apr,727,25
113593,Apr,334,143
1023682,Aug,69,311
101073,Aug,124,315
1196626,Aug,18,367
1002000,Jan,439,62
108865,Jun,265,137
115200,Dec,41,289
114272,Mar,470,64
111279,Aug,329,116
105731,Jul,69,465
101141,Oct,432,76
1018635,Oct,421,83
112735,Jul,114,280
1015134,Jul,540,74
109832,Jan,286,122
106209,Oct,104,257
104354,Jun,481,62
100272,Sep,654,44
110849,Jul,472,48
112760,Oct,471,50
1090370,Aug,348,139
108656,Jul,353,130
115701,Feb,275,138
106185,Jan,556,71
116448,Dec,344,94
117857,Aug,223,148
117592,Apr,360,128
100673,Nov,350,125
117844,Jul,165,199
101057,Jan,197,175
106949,Dec,72,422
102346,Jul,7,424
100258,Sep,479,89
1043314,Jun,440,76
1197344,Jul,604,46
108231,Aug,236,120
1039669,Dec,308,132
118478,Nov,430,77
1190129,Nov,443,94
1090215,Jan,122,257
113063,Dec,375,16
116123,Jun,335,121
114755,Jan,501,68
117354,Mar,146,356
102526,Jan,413,97
114601,Feb,665,71
113923,Feb,659,40
103821,Jun,382,94
1049695,Mar,275,112
104573,Jun,174,186
1114322,May,160,149
114576,Apr,420,110
102323,Feb,250,144
116266,May,682,0
113470,Dec,559,27
1152579,Feb,188,21
103338,Oct,184,29
1099214,Dec,216,162
101587,Sep,921,0
109419,Feb,505,64
1007694,Aug,544,49
106638,Apr,597,39
109273,Feb,870,0
1157456,May,415,108
1196626,Oct,16,364
115357,Sep,468,103
114036,Jan,72,176
110450,May,251,153
106497,May,427,131
106517,Apr,150,201
114314,Mar,340,92
108358,Feb,97,259
100950,Jul,411,90
116458,Apr,202,124
112347,Jul,94,365
105973,Nov,108,254
101493,Aug,365,126
108366,Oct,196,166
117552,Jun,266,149
116139,Aug,492,60
1123283,Apr,774,50
112931,Jan,278,231
111280,Aug,59,449
116534,Mar,360,100
102678,May,475,103
101523,Nov,657,40
1156831,Dec,0,402
117145,Jul,426,107
106741,Jun,466,73
111679,Aug,439,55
101367,Oct,295,129
1101634,Oct,426,72
111740,Jul,239,144
104698,Mar,493,55
103257,Oct,311,172
107637,Apr,291,162
104991,Jan,170,190
118059,Mar,551,66
110569,Aug,286,147
107958,Mar,388,88
1048595,Jan,412,14
112658,Jul,255,138
102711,Feb,451,85
108718,Mar,293,97
1074390,Jan,455,70
104347,Feb,921,0
105900,Feb,55,296
107047,Feb,524,39
115368,Sep,267,120
105102,Sep,304,102
106851,May,427,90
105213,Jul,114,239
118432,Jan,374,93
114383,Oct,336,104
107145,Mar,652,46
108018,Apr,613,68
115518,Dec,258,143
118446,Apr,657,39
110201,Aug,92,272
114087,Jul,400,114
102132,Apr,321,104
116095,May,340,103
107793,Dec,428,58
102075,May,961,0
108251,Feb,87,165
101756,Apr,347,87
100164,Dec,563,65
106002,Apr,540,49
111058,Sep,520,90
103836,Sep,92,226
1083254,Feb,99,266
110281,Nov,339,107
118181,Dec,511,59
1026725,May,203,168
104174,Sep,399,98
112966,Jul,335,125
108796,May,186,126
1102027,Mar,901,0
1117479,Mar,694,38
106744,Jul,603,40
112758,Sep,156,187
100506,Feb,481,95
100078,Jul,444,115
112450,Jul,702,20
102886,Jul,353,100
115317,Jul,157,43
101389,Feb,94,442
110009,Feb,442,90
101925,Jun,0,356
106423,Feb,516,66
115794,Jan,506,77
108421,Dec,295,144
116096,May,76,87
114125,Jan,64,292
107905,Apr,667,35
108586,Oct,306,138
106359,Mar,550,57
104960,Sep,445,97
116433,Nov,348,151
110507,Aug,447,69
1119868,Apr,10,443
102168,Dec,446,100
111884,Aug,420,129
115154,Dec,368,120
104681,Feb,335,108
100409,Oct,496,60
113265,Jan,321,70
109917,Mar,389,104
108826,Oct,381,86
103268,Dec,110,259
102354,Feb,371,118
1071853,Dec,232,167
100843,Aug,360,21
112967,May,15,354
101178,Nov,888,0
109880,Apr,587,45
115743,Jan,132,172
118074,Mar,420,11
102032,Apr,561,61
116126,Jun,385,90
106159,Aug,495,49
109223,Jul,550,62
118075,Feb,500,74
111922,Dec,117,223
108266,Jul,591,54
109723,Jan,426,94
112775,Apr,353,105
1041028,Jan,298,95
100324,Jul,516,64
1166176,Apr,91,142
116591,Jan,411,87
104818,Oct,353,123
104011,Jun,479,67
115824,Mar,503,69
1147012,May,273,130
105923,Sep,580,34
106940,Mar,498,72
100804,Dec,720,46
115260,May,416,99
103070,May,366,96
111040,Jan,539,46
111971,Jul,394,87
110906,Mar,63,295
103954,Jun,527,53
105879,Jan,617,49
118040,Nov,577,68
106727,Apr,435,79
1060860,Apr,660,27
118063,Jul,622,40
1051314,May,308,113
103101,Apr,403,114
111817,Feb,658,43
100804,Nov,746,56
116628,Feb,49,312
109492,Feb,304,131
110550,Jul,292,112
106044,Dec,348,127
113769,Mar,346,120
107606,Feb,92,347
102744,May,102,214
101315,Sep,807,43
114169,Jul,510,95
112459,Apr,420,73
102815,Oct,245,160
102794,Jun,402,15
112270,Apr,484,96
1125883,Sep,681,44
112150,Mar,155,191
115084,Sep,136,211
1160017,Nov,397,68
111328,Aug,333,148
108198,Jul,140,61
103892,Nov,259,129
113397,Dec,283,118
100328,Aug,480,24
113076,Feb,333,124
110148,Jul,339,125
1035958,Aug,323,116
114747,Jan,421,93
107261,Sep,327,145
108464,Jun,269,128
117147,Jun,424,91
115822,Mar,248,188
107042,Sep,465,65
113704,Jul,213,81
106766,Mar,645,34
115345,Sep,270,119
100142,Oct,370,85
116585,Jul,552,55
1147152,Sep,353,129
102620,Sep,0,221
114211,May,339,22
109800,Apr,495,99
1027555,Jun,307,135
111358,Apr,494,71
101544,Sep,74,307
114338,Sep,348,97
117168,Jan,372,118
115759,Nov,281,130
1132176,Feb,547,77
111424,Dec,182,233
116496,May,473,72
114241,Feb,96,391
116321,Mar,274,148
113441,Aug,328,108
1182654,Sep,162,330
114574,Feb,401,110
109846,Jul,348,45
101844,Dec,381,66
112462,Jun,101,297
102961,Dec,459,71
1049795,Sep,376,87
106177,Apr,357,99
105211,Nov,119,171
108849,Mar,156,181
111524,Apr,333,16
107968,Aug,459,89
1069294,Dec,359,100
111550,Sep,443,89
115864,Feb,584,73
1093165,Sep,271,141
1044225,Feb,419,85
101273,Sep,338,108
116260,May,162,180
102667,Mar,78,233
104981,Feb,483,61
108300,Aug,42,264
110923,Nov,455,94
102428,Feb,608,28
103628,Aug,382,119
104541,Dec,184,74
1124266,Aug,177,160
111820,Jul,61,258
113733,Jul,538,72
100519,Feb,466,64
117645,Feb,489,69
117681,Feb,213,149
112561,Apr,640,77
109207,Feb,0,331
115510,May,390,118
113147,Jul,605,82
116311,Mar,307,119
110660,Aug,518,64
118367,Feb,350,19
1063584,Jan,661,31
107949,Feb,379,88
110542,Mar,105,335
1006048,Apr,65,97
114863,Sep,653,56
113123,Aug,335,102
104779,Dec,423,53
114125,Feb,47,336
111022,Oct,594,88
101069,Jul,439,80
116040,Sep,433,68
105472,Dec,284,113
102752,Oct,512,75
110496,Sep,507,57
1164343,Aug,464,78
115333,Jan,341,104
110832,Jun,100,380
105747,Mar,101,277
103042,Mar,91,275
115378,Jun,8,359
114429,May,465,62
103931,Sep,647,31
100732,Sep,485,83
117128,Jan,189,81
115581,Mar,556,61
109241,Apr,665,13
101075,Jul,275,122
101161,Jan,186,180
102004,Aug,444,83
100763,Jan,494,73
112335,Nov,129,188
1034001,Jul,414,80
106170,Jul,402,87
113136,Jun,447,102
106701,Nov,356,138
111697,Nov,400,97
111824,Apr,138,64
115326,Sep,173,51
102682,Jun,455,62
109092,Sep,260,124
101860,Feb,645,26
103739,Jul,542,57
110731,Dec,614,84
118057,Jan,108,348
104437,May,68,263
113646,Nov,478,3
105669,Dec,143,136
110546,Sep,207,123
1005209,Jul,882,1
106957,Feb,478,93
105530,Apr,541,55
115617,Feb,98,395
108052,Oct,392,75
1155259,Mar,317,159
1111001,Jun,492,72
1044298,Aug,384,77
101947,Dec,93,266
109321,Mar,214,137
1026201,Sep,234,209
1139118,Jun,140,216
109562,Jan,418,56
116435,Jun,351,89
108596,Jan,447,63
106392,May,124,337
117963,Mar,396,7
108595,Feb,496,46
101778,Mar,519,77
1065873,Dec,429,90
115933,Mar,394,128
1078039,Jun,27,368
112874,Mar,352,120
110431,Sep,98,126
100917,Aug,425,123
113628,Sep,471,69
107398,Aug,610,34
103733,Mar,190,145
103339,Dec,9,398
112952,Jan,8,358
104947,Nov,349,95
104377,Jun,199,229
1035596,Jan,499,86
112112,Aug,427,73
105884,Oct,245,182
106830,Dec,461,67
113471,Sep,288,128
106488,Aug,301,107
102454,Oct,442,65
105505,Mar,387,115
104609,Aug,90,283
102060,Jan,79,492
116288,Feb,102,168
102160,Mar,357,110
109246,May,453,66
112020,Aug,344,105
111834,Feb,370,111
107878,Mar,326,108
103776,May,84,98
107958,Jan,410,67
109134,Mar,92,249
113237,Aug,498,55
109589,May,261,140
105542,Dec,400,14
110747,Jan,463,41
102109,Jun,170,184
1112818,May,302,115
115776,Oct,405,36
1108445,Jan,445,52
1079085,Aug,280,129
114063,Jun,627,69
111864,Jun,42,351
109723,Dec,391,107
116923,Jun,92,278
115504,Jan,447,85
116200,Jan,448,83
112261,Oct,342,58
115920,Jun,427,79
110876,Jan,64,277
101449,Dec,376,21
103956,Oct,956,0
118388,Nov,567,68
1054696,Aug,352,32
100064,Mar,190,151
102238,May,285,119
108424,Nov,223,64
102896,Dec,162,191
114299,Oct,283,161
105002,Nov,508,40
110493,Jan,165,221
117715,Apr,332,121
112318,Apr,375,103
104518,Dec,81,299
110374,Apr,143,347
108584,Oct,559,77
101521,Feb,273,144
108149,Jun,323,124
105058,Jan,748,5
110708,Feb,483,87
101378,Jun,457,85
102729,Jan,515,74
106530,May,67,348
106044,May,352,106
1129283,Oct,468,66
1177737,Sep,477,60
1094256,Oct,616,15
101030,May,628,47
108288,Oct,445,91
114105,May,265,153
109486,Dec,326,100
103814,Jun,659,49
103888,Nov,636,9
112897,Dec,560,48
118143,Jan,383,120
1036705,Feb,235,158
1087935,Jul,374,119
106714,Mar,452,88
103057,Mar,49,318
104176,Jul,262,120
104059,Jun,32,349
110390,Jul,95,282
1002005,Sep,384,101
115166,May,410,63
111894,Mar,393,95
109824,Jun,77,300
104657,Dec,706,23
100149,Feb,343,87
100951,Jan,475,126
103587,Sep,465,80
110757,Nov,102,161
103674,Nov,410,70
103808,May,410,69
113064,Dec,6,73
112546,Feb,204,152
115847,Apr,81,254
100673,Sep,375,117
1074112,Apr,91,256
117548,Aug,243,172
107115,Sep,261,111
104289,Mar,473,98
1159155,Nov,205,162
116705,Sep,385,18
113851,Mar,103,215
1061999,Feb,581,49
109550,Aug,258,181
107109,Apr,6,374
111619,Oct,272,123
105402,Jul,369,108
109604,Dec,256,121
111645,Sep,274,129
1069103,Jan,399,104
107309,Jul,425,80
117189,Dec,375,107
110661,May,473,121
110710,Oct,166,236
115005,Sep,240,130
111009,Jun,358,119
111747,Dec,364,101
1100076,Jun,460,87
118256,Jul,406,75
104061,Nov,34,340
101800,Jun,423,74
114170,Jul,748,57
105153,Nov,470,71
117765,Jan,367,25
101487,Jan,501,74
101702,Mar,41,337
105428,Nov,356,92
112628,Jul,190,204
113329,Oct,345,22
103702,May,375,106
113281,Feb,172,302
104638,Apr,184,191
112351,Jul,394,27
113192,Sep,353,21
118274,Sep,472,69
115488,May,385,13
104289,Jul,442,88
102979,Sep,226,150
117950,Jun,294,92
1052494,Mar,217,169
114176,May,384,111
110532,Oct,120,316
1155261,Mar,387,98
115440,Feb,1170,0
117325,Mar,367,97
1144291,Jan,100,243
109231,Apr,500,66
111196,Oct,694,28
1007900,Jul,530,67
113708,Mar,364,99
1018828,Nov,224,129
117780,Jan,339,103
100276,Jul,197,160
1049987,May,32,311
107943,Jun,600,49
117049,Aug,507,83
111112,Jan,354,106
115499,Jan,158,180
109780,Jan,349,91
102709,Feb,296,126
109705,May,425,82
106460,Oct,360,123
106291,Jun,368,117
112073,Apr,428,131
106310,Aug,534,79
106016,May,0,288
114068,Aug,448,81
108458,Jul,223,123
111298,Oct,337,94
105719,Jan,525,65
110323,Dec,440,139
101236,Jun,106,106
103176,Feb,427,67
115051,Dec,646,35
106538,Apr,362,109
1013805,Nov,475,58
115175,Nov,300,143
106521,Aug,540,25
107575,Mar,365,102
102540,Jun,326,129
103483,Sep,330,117
115947,Aug,448,80
1146167,Jun,310,117
116551,Dec,247,153
106147,Aug,413,77
104591,Apr,476,90
114702,May,222,77
1073826,Nov,103,233
1084737,Oct,365,114
101413,Mar,345,127
1165404,Apr,611,29
118276,Sep,139,219
116482,Jun,454,87
103155,May,760,27
1029125,Oct,80,411
112427,Dec,152,244
103516,May,415,100
111980,Jun,5,410
111316,Apr,411,1
1149312,Jan,281,157
116659,Aug,334,98
116427,Sep,568,66
111179,Apr,155,240
111754,Mar,362,26
105568,Nov,491,70
1163031,May,414,22
113727,Oct,527,88
109336,Nov,0,434
103959,Apr,522,64
107555,Nov,141,371
111829,Feb,195,135
113124,Mar,499,94
105758,Mar,488,84
113274,May,394,119
102462,Nov,320,122
102882,Jan,493,56
106136,Jul,631,38
103227,Jul,464,99
101665,Nov,254,121
110691,Oct,256,152
108234,Sep,540,9
115204,Jan,515,85
109131,May,630,76
101486,Sep,178,220
110300,Aug,287,118
106723,Aug,381,115
1088501,Jan,249,271
110178,Sep,628,60
114604,Jul,641,73
103895,Nov,223,151
1160197,Sep,405,83
116437,May,63,483
108339,Jul,1,279
1000022,Jan,318,121
113702,Jan,273,162
111949,Aug,915,0
114419,Jan,659,66
106489,Feb,545,65
1115697,Jun,642,70
113070,Nov,569,79
111498,Oct,402,93
101158,Jun,461,82
102423,Mar,565,87
117111,Jun,103,247
107375,Sep,246,120
115969,Oct,286,99
1146437,Oct,545,21
103653,May,184,168
107203,Dec,383,59
104834,Jan,459,136
102249,Oct,405,110
105604,Oct,362,112
111415,Nov,556,78
111145,Mar,32,380
116664,Dec,432,109
1041898,Jan,686,45
105380,Jul,157,181
1064453,May,237,144
1057806,Nov,532,68
108672,May,27,425
100136,May,318,118
1044837,Feb,197,154
105750,Jul,241,212
117004,May,279,131
105571,Apr,285,118
107366,Dec,363,81
111861,Jul,158,239
114328,Apr,284,130
101676,Sep,412,104
102926,Feb,334,104
104708,Jan,345,91
110322,Oct,407,85
111913,Jul,513,75
103268,Oct,129,240
1078299,Aug,347,91
110209,Feb,53,193
113167,May,72,298
1084150,Jul,361,117
101377,Jun,204,276
103523,Oct,422,124
117421,Mar,362,20
109545,Oct,430,83
116950,Jul,384,92
112311,Dec,281,140
111737,Aug,435,85
104251,Sep,566,58
102706,Dec,647,21
118158,Jul,0,479
109851,May,178,173
114712,Jan,292,72
109212,Feb,475,51
111468,Nov,525,56
103340,Jun,371,100
101007,Apr,370,12
107118,Feb,473,76
111463,May,71,318
104626,May,187,91
110363,Jun,366,123
106194,Apr,877,24
113012,Aug,153,378
104989,May,491,93
114823,Oct,266,136
103993,Dec,315,134
107277,Jun,0,253
112830,Aug,160,309
106007,Sep,427,65
104662,Aug,523,60
116756,Nov,404,79
109687,Jul,265,140
101779,Oct,54,320
103666,Feb,346,70
115870,Apr,344,105
114904,Aug,520,35
1075395,May,586,38
113362,Aug,419,92
112163,Jun,428,108
108709,Dec,4,423
1130364,Dec,575,71
118363,May,279,142
1098500,Oct,207,167
111243,Feb,483,74
113997,Sep,497,79
102528,Dec,637,13
109967,Dec,238,166
107945,Aug,434,108
1009131,Apr,548,65
1114476,Feb,333,107
100905,May,442,87
111726,Aug,477,71
