HHID,REGIONC,DIVISION,STATE_FIPS,state_postal,state_name,HHSEX,HHAGE,EMPLOYHH,EDUCATION,SDESCENT,HOUSEHOLDER_RACE,NHSLDMEM,NUMCHILD,NUMADULT1,NUMADULT2,ATHOME,MONEYPY
320205,SOUTH,West South Central,48,TX,Texas,1,40,1,4,0,2,3,1,2,0,5,8
256785,WEST,Mountain North,16,ID,Idaho,1,63,3,4,0,1,2,0,1,1,5,15
393440,SOUTH,East South Central,28,MS,Mississippi,2,31,1,4,0,1,3,1,1,1,5,15
467838,SOUTH,South Atlantic,24,MD,Maryland,1,28,4,1,0,4,2,0,2,0,5,6
131854,MIDWEST,West North Central,38,ND,North Dakota,2,31,1,3,0,1,1,0,1,0,5,8
202079,NORTHEAST,New England,23,ME,Maine,1,58,4,3,0,1,1,0,1,0,5,3
209863,SOUTH,East South Central,47,TN,Tennessee,2,74,3,2,0,1,2,0,0,2,5,12
192299,MIDWEST,East North Central,39,OH,Ohio,2,44,1,5,0,1,4,2,2,0,3,16
11491,NORTHEAST,New England,23,ME,Maine,2,74,3,4,0,1,3,0,1,2,5,10
157462,SOUTH,South Atlantic,37,NC,North Carolina,1,59,4,4,0,1,2,0,2,0,5,15
113950,MIDWEST,West North Central,29,MO,Missouri,1,63,1,4,0,1,1,0,1,0,5,12
309654,SOUTH,West South Central,48,TX,Texas,1,29,1,4,0,1,4,0,3,1,5,12
280306,SOUTH,South Atlantic,54,WV,West Virginia,2,72,3,5,0,1,2,0,0,2,5,15
314587,SOUTH,South Atlantic,45,SC,South Carolina,1,38,4,4,0,1,6,4,2,0,5,15
112969,SOUTH,South Atlantic,13,GA,Georgia,2,89,3,4,0,1,4,0,2,2,5,14
408162,SOUTH,South Atlantic,51,VA,Virginia,2,90,3,4,0,1,4,0,2,2,5,13
368770,MIDWEST,East North Central,39,OH,Ohio,2,25,1,3,0,1,2,0,2,0,4,14
82790,NORTHEAST,New England,25,MA,Massachusetts,1,27,2,4,0,1,1,0,1,0,5,5
386850,SOUTH,South Atlantic,37,NC,North Carolina,1,64,1,4,0,2,1,0,1,0,5,10
40406,MIDWEST,West North Central,19,IA,Iowa,1,90,3,3,0,1,1,0,0,1,5,11
169477,WEST,Mountain North,16,ID,Idaho,1,58,1,3,0,1,2,0,1,1,5,15
453624,WEST,Pacific,6,CA,California,1,87,3,4,1,3,1,0,0,1,0,2
484567,SOUTH,South Atlantic,24,MD,Maryland,2,77,1,5,0,1,2,0,0,2,5,16
498496,WEST,Pacific,6,CA,California,2,65,3,3,0,1,2,0,0,2,5,14
44602,WEST,Pacific,6,CA,California,1,47,2,3,0,4,6,2,4,0,5,5
298053,MIDWEST,East North Central,26,MI,Michigan,2,72,3,2,0,1,1,0,0,1,5,10
438295,SOUTH,South Atlantic,13,GA,Georgia,1,48,1,3,1,1,2,0,2,0,0,13
340542,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,2,30,1,5,0,1,2,0,2,0,5,16
350968,WEST,Pacific,53,WA,Washington,2,57,1,3,0,1,2,0,2,0,5,16
265039,MIDWEST,West North Central,46,SD,South Dakota,1,79,3,2,0,1,2,0,0,2,5,14
314348,MIDWEST,East North Central,26,MI,Michigan,2,63,1,3,0,1,2,0,1,1,5,13
139902,NORTHEAST,Middle Atlantic,36,NY,New York,2,60,1,4,0,1,2,0,2,0,1,15
259052,MIDWEST,West North Central,27,MN,Minnesota,1,25,1,3,0,2,1,0,1,0,5,13
257082,WEST,Pacific,53,WA,Washington,2,50,1,4,0,1,3,1,2,0,5,15
64728,SOUTH,South Atlantic,24,MD,Maryland,1,55,4,3,0,2,2,0,2,0,5,1
100018,WEST,Pacific,2,AK,Alaska,1,30,2,2,0,1,2,0,1,1,5,5
498502,SOUTH,East South Central,47,TN,Tennessee,1,32,1,2,0,1,3,0,2,1,5,9
322194,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,1,36,4,3,1,1,3,2,1,0,5,6
293148,MIDWEST,West North Central,19,IA,Iowa,2,80,3,4,0,1,2,0,1,1,5,12
418128,MIDWEST,East North Central,55,WI,Wisconsin,2,79,3,3,0,1,2,0,0,2,5,13
88844,SOUTH,South Atlantic,45,SC,South Carolina,2,54,1,4,0,1,3,1,2,0,5,14
302856,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,1,54,4,5,0,1,2,0,2,0,5,15
444054,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,2,65,3,4,1,1,2,0,0,2,5,14
184067,MIDWEST,East North Central,39,OH,Ohio,2,28,1,4,0,1,3,0,3,0,0,15
115598,NORTHEAST,New England,23,ME,Maine,1,65,2,3,0,1,2,0,1,1,5,12
199556,SOUTH,West South Central,48,TX,Texas,2,53,4,2,1,1,3,0,3,0,3,2
104102,MIDWEST,East North Central,17,IL,Illinois,2,68,1,5,0,1,2,0,1,1,5,16
19518,MIDWEST,West North Central,27,MN,Minnesota,1,54,1,2,0,4,1,0,1,0,1,8
127391,SOUTH,West South Central,40,OK,Oklahoma,2,48,1,4,0,1,4,2,2,0,5,16
167009,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,2,49,1,3,0,1,3,2,1,0,5,11
425853,MIDWEST,West North Central,38,ND,North Dakota,1,38,1,4,0,1,1,0,1,0,0,11
930,WEST,Mountain South,32,NV,Nevada,2,87,3,4,0,4,2,0,0,2,5,11
154570,MIDWEST,East North Central,18,IN,Indiana,1,50,1,3,1,1,3,1,2,0,5,13
281109,WEST,Pacific,41,OR,Oregon,2,71,3,4,0,1,1,0,0,1,5,11
61382,NORTHEAST,Middle Atlantic,36,NY,New York,2,61,4,4,0,2,4,1,1,2,5,15
301834,NORTHEAST,Middle Atlantic,36,NY,New York,1,89,3,1,1,1,2,0,0,2,0,5
474458,WEST,Mountain North,8,CO,Colorado,1,59,1,3,0,1,2,0,2,0,5,9
198303,NORTHEAST,New England,33,NH,New Hampshire,1,60,1,3,0,1,2,0,2,0,5,15
102410,WEST,Mountain North,8,CO,Colorado,1,45,1,4,0,1,3,1,2,0,1,14
300286,SOUTH,East South Central,21,KY,Kentucky,1,40,1,4,0,1,2,1,1,0,1,15
177854,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,2,61,1,3,0,1,2,0,1,1,5,15
445085,NORTHEAST,Middle Atlantic,36,NY,New York,2,70,2,3,0,1,2,0,0,2,5,9
324745,WEST,Mountain South,35,NM,New Mexico,1,30,1,2,0,3,1,0,1,0,2,4
13978,MIDWEST,West North Central,27,MN,Minnesota,2,54,1,2,0,1,1,0,1,0,0,11
377151,SOUTH,South Atlantic,37,NC,North Carolina,2,78,3,1,0,2,2,0,0,2,5,7
245799,NORTHEAST,New England,25,MA,Massachusetts,2,66,3,5,0,1,3,0,1,2,5,16
414874,SOUTH,West South Central,5,AR,Arkansas,1,69,3,2,0,1,2,0,0,2,5,9
93563,MIDWEST,East North Central,55,WI,Wisconsin,2,24,1,4,0,1,2,0,2,0,0,13
7095,WEST,Mountain North,30,MT,Montana,1,22,4,3,0,1,3,1,2,0,5,15
12026,WEST,Pacific,6,CA,California,2,52,4,2,0,2,1,0,1,0,5,4
232413,WEST,Pacific,6,CA,California,1,29,1,4,0,1,2,0,2,0,4,15
387686,SOUTH,West South Central,5,AR,Arkansas,1,33,1,5,0,1,4,2,2,0,2,16
15489,WEST,Mountain North,8,CO,Colorado,2,60,1,5,0,1,2,0,1,1,5,15
355532,SOUTH,South Atlantic,37,NC,North Carolina,1,62,3,3,0,1,1,0,1,0,2,7
264815,NORTHEAST,New England,25,MA,Massachusetts,2,84,3,4,0,1,3,0,1,2,5,7
217513,NORTHEAST,Middle Atlantic,36,NY,New York,1,28,1,4,0,1,2,0,1,1,5,15
318638,MIDWEST,West North Central,20,KS,Kansas,1,86,3,2,0,1,1,0,0,1,5,6
303006,WEST,Pacific,6,CA,California,1,56,1,5,0,1,2,0,2,0,5,16
449054,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,2,72,3,5,0,1,2,0,0,2,5,16
131460,WEST,Pacific,53,WA,Washington,1,73,3,5,0,1,1,0,0,1,5,13
305425,NORTHEAST,Middle Atlantic,36,NY,New York,1,50,4,4,0,1,4,2,2,0,5,16
399247,WEST,Pacific,53,WA,Washington,2,30,1,5,0,1,2,0,2,0,0,15
201382,MIDWEST,West North Central,31,NE,Nebraska,2,74,3,2,0,1,2,0,0,2,4,14
141827,SOUTH,South Atlantic,12,FL,Florida,1,73,3,4,0,1,2,0,0,2,5,13
475754,WEST,Pacific,53,WA,Washington,2,71,3,3,0,1,2,0,1,1,5,1
99615,MIDWEST,East North Central,55,WI,Wisconsin,1,23,1,4,0,1,1,0,1,0,2,11
267086,SOUTH,South Atlantic,11,DC,District of Columbia,1,27,1,4,0,1,2,0,2,0,5,16
75746,WEST,Pacific,53,WA,Washington,1,78,3,4,0,1,2,0,0,2,5,13
237501,SOUTH,West South Central,48,TX,Texas,1,30,2,1,0,1,4,0,4,0,5,1
391707,MIDWEST,West North Central,29,MO,Missouri,2,54,1,5,0,1,3,1,2,0,5,16
363252,WEST,Pacific,53,WA,Washington,1,42,4,3,1,1,4,1,3,0,1,12
160980,WEST,Mountain North,30,MT,Montana,1,61,3,4,0,1,2,0,2,0,5,10
496045,MIDWEST,West North Central,19,IA,Iowa,1,34,1,4,0,1,6,4,2,0,5,16
4567,MIDWEST,East North Central,55,WI,Wisconsin,2,59,1,2,0,1,2,0,2,0,0,16
269868,SOUTH,South Atlantic,13,GA,Georgia,1,21,2,3,0,1,4,0,4,0,5,1
393714,WEST,Pacific,6,CA,California,2,40,1,4,1,1,3,0,2,1,5,11
297169,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,1,60,1,4,0,1,3,0,2,1,5,14
32140,SOUTH,East South Central,47,TN,Tennessee,1,49,1,3,0,1,7,2,5,0,5,13
34907,SOUTH,South Atlantic,37,NC,North Carolina,1,76,3,1,0,1,3,0,2,1,5,4
42200,SOUTH,West South Central,48,TX,Texas,1,67,3,3,0,1,1,0,0,1,5,7
49976,WEST,Pacific,6,CA,California,2,41,1,5,0,1,4,2,2,0,5,14
313430,SOUTH,East South Central,28,MS,Mississippi,1,84,3,3,0,1,1,0,0,1,5,11
405115,WEST,Mountain North,16,ID,Idaho,1,72,3,3,0,1,2,0,0,2,5,13
32197,WEST,Pacific,53,WA,Washington,1,54,1,5,0,1,1,0,1,0,5,14
177783,MIDWEST,West North Central,29,MO,Missouri,1,18,2,2,0,1,2,0,2,0,5,1
214688,MIDWEST,East North Central,55,WI,Wisconsin,2,45,1,2,0,1,1,0,1,0,2,11
418578,SOUTH,West South Central,48,TX,Texas,1,68,3,3,0,1,1,0,0,1,5,12
320803,SOUTH,South Atlantic,37,NC,North Carolina,2,60,1,5,0,1,3,0,3,0,4,15
163605,MIDWEST,West North Central,20,KS,Kansas,1,76,3,2,0,1,3,0,2,1,5,14
462490,SOUTH,South Atlantic,24,MD,Maryland,2,49,1,3,0,1,1,0,1,0,0,14
51364,SOUTH,South Atlantic,24,MD,Maryland,1,60,1,3,0,2,2,0,2,0,0,11
288921,SOUTH,West South Central,48,TX,Texas,2,90,3,5,0,1,1,0,0,1,5,16
306196,WEST,Pacific,6,CA,California,1,46,1,5,0,1,4,2,2,0,5,16
253551,MIDWEST,West North Central,46,SD,South Dakota,1,59,1,3,0,1,1,0,1,0,0,11
238639,SOUTH,South Atlantic,24,MD,Maryland,1,40,1,4,0,1,5,3,2,0,5,15
421658,MIDWEST,East North Central,26,MI,Michigan,1,58,2,3,0,1,2,0,2,0,4,13
310980,SOUTH,West South Central,48,TX,Texas,2,56,1,5,0,1,4,2,2,0,5,16
68114,WEST,Pacific,53,WA,Washington,2,71,3,3,0,1,2,0,0,2,5,14
273216,SOUTH,West South Central,22,LA,Louisiana,1,53,1,2,0,1,2,0,2,0,5,6
238364,MIDWEST,West North Central,38,ND,North Dakota,1,30,1,4,0,1,6,4,2,0,5,16
329139,MIDWEST,East North Central,18,IN,Indiana,1,52,4,3,0,1,3,1,2,0,5,5
117296,WEST,Mountain South,4,AZ,Arizona,2,47,1,2,1,1,3,0,3,0,3,11
322520,MIDWEST,West North Central,38,ND,North Dakota,1,27,1,2,0,1,4,2,2,0,5,15
346771,NORTHEAST,New England,50,VT,Vermont,2,77,3,5,0,1,2,0,0,2,5,11
59986,WEST,Mountain South,4,AZ,Arizona,1,69,3,5,0,1,2,0,0,2,5,13
493187,WEST,Pacific,6,CA,California,1,56,1,2,0,2,1,0,1,0,0,12
457520,SOUTH,West South Central,40,OK,Oklahoma,2,72,3,4,0,1,1,0,0,1,5,3
333260,SOUTH,South Atlantic,37,NC,North Carolina,2,49,4,1,0,1,4,2,2,0,5,15
152588,SOUTH,South Atlantic,51,VA,Virginia,2,56,3,2,0,1,1,0,1,0,0,6
282112,WEST,Pacific,2,AK,Alaska,2,48,3,4,0,1,2,0,2,0,5,12
341431,WEST,Pacific,6,CA,California,2,65,3,3,0,1,2,0,1,1,5,15
465375,SOUTH,South Atlantic,13,GA,Georgia,2,28,1,5,0,1,1,0,1,0,0,11
262654,MIDWEST,West North Central,19,IA,Iowa,2,71,3,3,0,1,2,0,0,2,5,9
342789,MIDWEST,East North Central,18,IN,Indiana,2,69,3,3,0,1,1,0,0,1,5,13
185312,WEST,Pacific,2,AK,Alaska,2,53,1,4,0,1,2,0,2,0,4,13
246925,SOUTH,West South Central,48,TX,Texas,1,59,1,3,0,1,2,0,2,0,3,15
365789,NORTHEAST,New England,25,MA,Massachusetts,2,57,3,3,0,3,1,0,1,0,2,11
393478,MIDWEST,East North Central,17,IL,Illinois,1,30,4,3,0,6,3,1,2,0,5,14
62596,WEST,Pacific,41,OR,Oregon,1,59,3,2,0,1,1,0,1,0,5,7
211014,MIDWEST,West North Central,20,KS,Kansas,1,53,4,2,0,1,2,0,2,0,5,7
6311,MIDWEST,West North Central,38,ND,North Dakota,1,47,4,2,0,1,1,0,1,0,5,6
353861,WEST,Mountain South,32,NV,Nevada,1,76,3,2,0,1,1,0,0,1,5,7
494676,SOUTH,East South Central,1,AL,Alabama,1,56,1,4,0,1,1,0,1,0,4,14
77931,SOUTH,West South Central,48,TX,Texas,2,67,2,5,0,1,2,0,0,2,5,13
333736,SOUTH,South Atlantic,12,FL,Florida,1,43,1,2,0,1,2,1,1,0,0,14
28424,MIDWEST,East North Central,26,MI,Michigan,1,30,2,3,1,1,2,0,2,0,2,11
270244,SOUTH,West South Central,5,AR,Arkansas,1,49,1,5,0,1,3,1,2,0,0,14
480603,WEST,Mountain South,4,AZ,Arizona,1,34,4,3,0,3,5,2,3,0,5,15
99253,SOUTH,East South Central,21,KY,Kentucky,1,74,3,1,0,1,2,0,0,2,5,12
224842,WEST,Mountain South,35,NM,New Mexico,2,53,1,5,0,1,3,1,2,0,5,15
107238,WEST,Mountain North,56,WY,Wyoming,2,61,1,3,0,1,2,0,2,0,1,14
198942,MIDWEST,East North Central,17,IL,Illinois,1,27,1,5,0,1,2,0,2,0,1,15
258155,SOUTH,East South Central,21,KY,Kentucky,1,63,3,1,0,1,1,0,1,0,5,7
215987,WEST,Mountain South,32,NV,Nevada,1,55,3,4,0,1,1,0,1,0,5,12
289929,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,1,40,2,2,0,1,4,2,2,0,5,4
111493,WEST,Mountain South,35,NM,New Mexico,1,76,4,1,0,5,1,0,0,1,0,1
369775,SOUTH,East South Central,21,KY,Kentucky,1,66,3,5,0,1,2,0,0,2,5,14
421769,MIDWEST,West North Central,20,KS,Kansas,1,87,3,2,0,1,2,0,0,2,5,13
295668,MIDWEST,East North Central,26,MI,Michigan,1,86,3,2,0,1,2,0,0,2,5,16
204809,SOUTH,South Atlantic,37,NC,North Carolina,2,57,1,3,0,1,2,0,2,0,5,15
181,MIDWEST,East North Central,18,IN,Indiana,1,61,1,3,0,1,2,0,2,0,5,14
313493,WEST,Pacific,53,WA,Washington,2,68,1,1,0,1,6,1,3,2,5,16
256208,WEST,Pacific,6,CA,California,2,70,1,4,0,1,2,0,0,2,5,16
168477,WEST,Pacific,6,CA,California,2,45,1,3,0,4,6,2,2,2,5,15
384410,NORTHEAST,New England,25,MA,Massachusetts,2,40,1,4,0,1,5,3,2,0,5,16
304617,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,1,50,1,4,0,2,1,0,1,0,0,13
101146,MIDWEST,East North Central,55,WI,Wisconsin,1,73,3,2,0,1,1,0,0,1,5,5
333732,MIDWEST,West North Central,19,IA,Iowa,1,86,3,2,0,1,1,0,0,1,5,9
371833,NORTHEAST,New England,33,NH,New Hampshire,2,34,1,3,0,1,1,0,1,0,0,11
360843,WEST,Pacific,2,AK,Alaska,2,41,1,3,0,1,3,2,1,0,3,15
79353,MIDWEST,East North Central,26,MI,Michigan,1,42,2,1,0,1,2,0,2,0,0,1
483792,NORTHEAST,New England,50,VT,Vermont,2,79,3,3,0,1,2,0,0,2,5,9
410354,WEST,Mountain South,32,NV,Nevada,2,62,1,5,0,1,2,0,2,0,5,14
329412,NORTHEAST,New England,50,VT,Vermont,2,57,3,2,0,1,3,0,3,0,5,15
466516,MIDWEST,East North Central,18,IN,Indiana,1,74,2,4,0,1,1,0,0,1,5,9
13275,MIDWEST,West North Central,29,MO,Missouri,1,81,3,3,0,1,1,0,0,1,5,7
25555,NORTHEAST,New England,25,MA,Massachusetts,1,34,2,5,0,1,3,1,2,0,5,15
145825,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,1,85,3,3,0,1,5,1,2,2,5,14
48655,NORTHEAST,New England,50,VT,Vermont,1,53,2,4,0,1,1,0,1,0,2,5
138337,SOUTH,South Atlantic,11,DC,District of Columbia,1,69,3,4,0,2,1,0,0,1,5,14
133027,SOUTH,West South Central,48,TX,Texas,1,42,1,5,0,6,3,2,1,0,0,12
1761,SOUTH,West South Central,5,AR,Arkansas,2,75,3,5,0,1,2,0,1,1,5,16
192688,SOUTH,West South Central,40,OK,Oklahoma,2,76,3,3,0,1,2,0,0,2,5,10
338438,SOUTH,East South Central,47,TN,Tennessee,1,51,1,3,0,1,1,0,1,0,1,12
11045,SOUTH,South Atlantic,24,MD,Maryland,1,44,1,1,1,1,5,1,4,0,5,11
288952,SOUTH,West South Central,48,TX,Texas,2,49,4,2,1,1,1,0,1,0,0,3
439539,SOUTH,South Atlantic,12,FL,Florida,1,69,3,4,0,1,1,0,0,1,5,7
207324,SOUTH,South Atlantic,12,FL,Florida,1,53,4,3,1,1,1,0,1,0,2,1
162435,WEST,Pacific,6,CA,California,2,59,4,1,0,1,2,0,2,0,5,9
317288,SOUTH,South Atlantic,13,GA,Georgia,1,67,3,1,0,1,1,0,0,1,0,5
276259,SOUTH,West South Central,48,TX,Texas,2,42,1,3,0,1,3,1,2,0,5,15
116022,NORTHEAST,New England,50,VT,Vermont,2,37,1,3,0,1,1,0,1,0,5,15
482400,WEST,Pacific,6,CA,California,1,77,3,2,0,1,1,0,0,1,5,11
367621,WEST,Pacific,41,OR,Oregon,2,70,3,4,0,1,1,0,0,1,0,16
437338,MIDWEST,West North Central,27,MN,Minnesota,2,43,1,3,0,1,3,1,2,0,5,15
292869,WEST,Mountain North,16,ID,Idaho,2,39,4,2,0,1,6,4,2,0,2,2
450029,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,2,33,1,4,0,4,2,0,2,0,5,14
423146,WEST,Mountain South,35,NM,New Mexico,2,70,3,4,0,1,2,0,0,2,5,12
48511,SOUTH,East South Central,1,AL,Alabama,1,74,3,2,0,1,2,0,0,2,5,13
275393,MIDWEST,West North Central,20,KS,Kansas,2,27,1,4,0,1,1,0,1,0,1,11
302637,SOUTH,West South Central,5,AR,Arkansas,2,70,2,3,0,1,2,0,0,2,5,9
496661,SOUTH,South Atlantic,51,VA,Virginia,2,60,3,4,0,1,1,0,1,0,5,13
145200,WEST,Mountain North,49,UT,Utah,2,43,1,4,0,1,6,3,3,0,5,16
241949,MIDWEST,West North Central,19,IA,Iowa,1,65,3,3,0,1,1,0,0,1,5,10
123229,WEST,Pacific,15,HI,Hawaii,1,70,3,4,0,6,2,0,1,1,5,11
449498,WEST,Mountain North,30,MT,Montana,1,68,3,5,0,1,2,0,0,2,3,10
198657,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,2,52,1,3,0,1,2,1,1,0,3,15
71158,SOUTH,West South Central,48,TX,Texas,1,34,1,3,1,1,6,3,2,1,5,13
418969,SOUTH,South Atlantic,37,NC,North Carolina,1,40,1,4,0,1,4,2,2,0,5,16
66963,WEST,Mountain North,8,CO,Colorado,1,57,4,4,0,1,1,0,1,0,3,4
243306,WEST,Mountain South,4,AZ,Arizona,2,80,3,5,0,1,2,0,0,2,5,14
95055,SOUTH,West South Central,40,OK,Oklahoma,1,53,1,2,0,1,5,1,3,1,5,13
124107,WEST,Mountain South,4,AZ,Arizona,1,53,3,3,0,1,1,0,1,0,5,9
287483,MIDWEST,East North Central,18,IN,Indiana,1,62,1,2,0,1,1,0,1,0,5,13
395985,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,2,31,1,5,0,1,1,0,1,0,5,14
144629,SOUTH,West South Central,40,OK,Oklahoma,2,44,1,3,0,1,5,3,2,0,0,11
293069,MIDWEST,East North Central,55,WI,Wisconsin,1,71,3,2,0,1,2,0,0,2,5,16
299000,MIDWEST,West North Central,20,KS,Kansas,2,39,1,5,0,1,5,3,2,0,0,13
15398,WEST,Pacific,6,CA,California,1,41,1,1,0,2,2,1,1,0,5,6
343682,NORTHEAST,New England,25,MA,Massachusetts,1,69,3,5,0,1,2,0,0,2,5,12
387897,WEST,Pacific,2,AK,Alaska,2,50,4,4,0,5,2,0,2,0,5,9
80415,SOUTH,South Atlantic,51,VA,Virginia,2,59,1,4,0,1,3,2,1,0,5,13
69560,WEST,Pacific,41,OR,Oregon,2,63,3,3,0,1,1,0,1,0,5,13
119789,MIDWEST,East North Central,18,IN,Indiana,1,67,4,2,0,1,2,0,0,2,5,15
302713,WEST,Pacific,6,CA,California,1,52,1,3,0,1,3,1,2,0,5,14
166841,MIDWEST,West North Central,29,MO,Missouri,2,54,3,2,0,1,3,0,2,1,5,5
70719,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,1,32,1,5,0,1,1,0,1,0,2,12
186912,SOUTH,East South Central,1,AL,Alabama,1,47,1,4,0,1,3,0,3,0,4,16
336484,SOUTH,South Atlantic,37,NC,North Carolina,2,73,3,2,0,1,1,0,0,1,5,13
37420,SOUTH,East South Central,47,TN,Tennessee,1,65,3,3,0,2,1,0,0,1,5,11
277800,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,2,71,3,3,0,1,2,0,1,1,5,11
201981,WEST,Mountain North,49,UT,Utah,1,33,4,4,0,1,5,3,2,0,5,13
392391,WEST,Mountain South,4,AZ,Arizona,2,38,1,5,0,1,6,4,2,0,5,16
455594,MIDWEST,East North Central,55,WI,Wisconsin,2,58,2,1,0,1,1,0,1,0,2,7
238710,MIDWEST,East North Central,26,MI,Michigan,1,80,3,2,0,1,1,0,0,1,5,15
288076,NORTHEAST,Middle Atlantic,36,NY,New York,1,56,2,2,0,1,1,0,1,0,0,3
220093,WEST,Pacific,6,CA,California,2,43,1,4,0,1,4,2,2,0,3,15
71283,SOUTH,West South Central,22,LA,Louisiana,1,62,3,4,0,1,2,0,2,0,0,15
238548,SOUTH,West South Central,40,OK,Oklahoma,2,22,2,3,1,1,5,2,3,0,5,11
68296,WEST,Pacific,6,CA,California,2,58,4,3,0,2,2,0,2,0,5,4
37761,SOUTH,South Atlantic,37,NC,North Carolina,2,64,4,2,0,1,1,0,1,0,5,6
392738,WEST,Mountain South,35,NM,New Mexico,2,34,1,3,0,1,4,2,2,0,4,14
366448,WEST,Pacific,2,AK,Alaska,1,40,2,2,0,3,5,3,2,0,2,7
439604,WEST,Mountain North,56,WY,Wyoming,1,44,1,3,0,1,2,0,2,0,1,12
283327,WEST,Mountain North,8,CO,Colorado,2,62,3,3,0,2,1,0,1,0,1,14
256701,WEST,Mountain North,8,CO,Colorado,2,75,3,5,0,1,2,0,0,2,4,13
468173,NORTHEAST,New England,25,MA,Massachusetts,1,60,1,5,0,1,1,0,1,0,5,12
51157,WEST,Mountain South,32,NV,Nevada,2,46,2,2,1,1,4,0,4,0,0,2
202773,WEST,Mountain North,30,MT,Montana,1,76,3,3,0,1,2,0,0,2,5,11
341234,MIDWEST,East North Central,17,IL,Illinois,1,65,2,5,0,1,1,0,0,1,5,12
208203,WEST,Pacific,2,AK,Alaska,2,64,2,5,0,1,1,0,1,0,0,14
181620,SOUTH,West South Central,22,LA,Louisiana,2,66,3,2,0,1,1,0,0,1,5,10
113427,SOUTH,East South Central,47,TN,Tennessee,1,34,3,4,0,1,2,0,2,0,5,11
